Copies,Nickname,card_background,card_background style,img_pergamena_titolo,img_scudo,valore asta,titolo,img_moneta,miglioria,miglioria style,pesce1,pesce2,pesce2 style,categoria miglioria,valore guadagno,valore guadagno style,pesce3,pesce3 style,pesce4,pesce4 style,img_pergamena_miglioria,img_pergamena guadagno,img_pergamena pesce1,img_pergamena pesce2,img_pergamena pesce3,img_pergamena pesce3 style,img_pergamena pesce4,img_pergamena pesce4 style
1,,"1_bacaro_risorto.png,8,100,168",{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,3,Bacaro Risorto,moneta.png,M_banco ampliato.png,,r_sardina.png,r_sardina.png,{display:block},F_pescherecci.png,4,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,2_bacaro_laguna.JPG,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,2,Bacaro della Laguna,moneta.png,M_ecocapitano.png,,r_branzino.png,,{display:none},F_aste.png,3,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,3_perla_nera.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,3,La Perla Nera,moneta.png,M_rendita.png,,r_mollusco.png,,{display:none},F_bilancia.png,4,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,4_osteria_pugni.JPG,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Osteria ai Pugni,moneta.png,M_contrattazione.png,,r_gambero.png,,{display:none},F_mercato.png,4,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,5_tre_marie.png,"{filter:brightness(1.1) contrast(1.1) saturate(1.2)}
{backgroundSize:184%}
{backgroundPositionX:71%}
{backgroundPositionY:79%}",,,3,Le Tre Marie,moneta.png,M_banco ampliato.png,,r_branzino.png,r_branzino.png,{display:block},F_pescherecci.png,6,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,6_pescheria.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,2,Osteria Pescheria,moneta.png,M_nuovi clienti.png,,r_sardina.png,r_branzino.png,{display:block},F_aste.png,6,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,7_famiglia_badoer.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,3,Famiglia Badoer,moneta.png,M_ecocapitano.png,,r_polpo.png,,{display:none},F_aste.png,5,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,8_ai_forni.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Osteria Ai Forni,moneta.png,M_fiuto.png,,r_gambero.png,r_gambero.png,{display:block},F_pescherecci.png,8,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,9_traghetto.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,2,Al Traghetto,moneta.png,M_nuovi clienti.png,,r_sardina.png,r_sardina.png,{display:block},F_aste.png,6,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,10_do_mori.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,2,Cantina do Mori,moneta.png,M_nuovi clienti.png,,r_mollusco.png,r_sardina.png,{display:block},F_aste.png,7,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,11_da_lele.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,3,Bacaro da Lele,moneta.png,M_banco ampliato.png,,r_gambero.png,r_branzino.png,{display:block},F_pescherecci.png,8,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,12_luna_piena.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Osteria Luna Piena,moneta.png,M_favorito.png,,r_polpo.png,r_sardina.png,{display:block},F_mercato.png,8,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,13_sole_splendente.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Al Sole Splendente,moneta.png,M_diversificazione.png,,r_branzino.png,r_branzino.png,{display:block},F_bilancia.png,12,,r_mollusco.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,14_tiziano.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Osteria da Tiziano,moneta.png,M_favorito.png,,r_branzino.png,r_mollusco.png,{display:block},F_mercato.png,17,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,15 famiglia tiepolo.JPG,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Famiglia Tiepolo,moneta.png,M_ecocapitano.png,,r_mollusco.png,r_mollusco.png,{display:block},F_aste.png,13,,r_branzino.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,16_mistero.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Cantina del Mistero,moneta.png,M_fiuto.png,,r_sardina.png,r_sardina.png,{display:block},F_pescherecci.png,10,,r_gambero.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,17_angelo.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,3,Osteria dell'Angelo,moneta.png,M_fiuto.png,,r_gambero.png,r_sardina.png,{display:block},F_pescherecci.png,10,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,18_riva.JPG,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,2,Bacaro della Riva,moneta.png,M_amico pescatori.png,,r_sardina.png,,{display:none},F_bilancia.png,2,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,19_volo.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,3,Bacaro Al Volo,moneta.png,M_capitano aste.png,,r_polpo.png,r_polpo.png,{display:block},F_bilancia.png,10,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,20_murano.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Vecia Murano,moneta.png,M_nuovi clienti.png,,r_gambero.png,r_mollusco.png,{display:block},F_aste.png,10,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,21_nono_giudecca.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,2,Il Nono di Giudecca,moneta.png,M_arte venditore.png,,r_branzino.png,r_branzino.png,{display:block},F_bilancia.png,6,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,22_laguna_segreta.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Laguna Segreta,moneta.png,M_rendita.png,,r_polpo.png,r_gambero.png,{display:block},F_bilancia.png,11,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,23_fenice.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,3,Ristorante la Fenice,moneta.png,M_contrattazione.png,,r_mollusco.png,r_mollusco.png,{display:block},F_mercato.png,8,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,24_tecia.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,4,Alla Tecia,moneta.png,M_favorito.png,,r_branzino.png,r_mollusco.png,{display:block},F_mercato.png,11,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
1,,25_marisa.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,2,Osteria Da Marisa,moneta.png,M_fiuto.png,,r_sardina.png,,{display:none},F_pescherecci.png,2,,,{display:none},,{display:none},,,,,,{display:none},,{display:none}
1,,26_sestiere.png,{filter:brightness(1.1) contrast(1.1) saturate(1.2)},,,5,Osteria del Sestiere,moneta.png,M_amico pescatori.png,,r_branzino.png,r_branzino.png,{display:block},F_bilancia.png,10,,r_sardina.png,{display:block},,{display:none},,,,,,{display:block},,{display:none}
