Copies,Nickname,card_background,card_background style,img_pergamena_titolo,img_scudo,valore asta,titolo,titolo style,img_moneta,miglioria,miglioria style,pesce1,pesce1 style,pesce2,pesce2 style,categoria miglioria,valore guadagno,valore guadagno style,pesce3,pesce3 style,img_pergamena_miglioria,img_pergamena pesce1,img_pergamena pesce2,img_pergamena pesce2 style,img_pergamena pesce3,img_pergamena pesce3 style,img_pergamena guadagno,img_pergamena miglioria
1,,"1_bacaro_risorto.png,8,100,168",{filter:contrast(1.1) saturate(1.2)},,,3,Bacaro Risorto,,moneta.png,M_banco ampliato.png,,r_sardina.png,,r_sardina.png,,F_pescherecci.png,4,,,{display:none},,,,,,{display:none},,
1,,2_bacaro_laguna.JPG,{filter:brightness(1) contrast(1.1) saturate(1.2)},,,2,Bacaro della Laguna,,moneta.png,M_ecocapitano.png,,r_branzino.png,,,{display:none},F_aste.png,3,,,{display:none},,,,{display:none},,{display:none},,
1,,3_perla_nera.png,{filter:brightness(1) contrast(1.1) saturate(1.2)},,,3,La Perla Nera,,moneta.png,M_arte venditore.png,,r_mollusco.png,,,{display:none},F_bilancia.png,4,,,{display:none},,,,{display:none},,{display:none},,
1,,4_osteria_pugni.JPG,{filter:brightness(1) contrast(1.1) saturate(1.2)},,,4,Osteria ai Pugni,,moneta.png,M_contrattazione.png,,r_gambero.png,,,{display:none},F_mercato.png,4,,,{display:none},,,,{display:none},,{display:none},,
1,,5_tre_marie.png,"{filter:brightness(1) contrast(1.1) saturate(1.2)}
{backgroundSize:184%}
{backgroundPositionX:71%}
{backgroundPositionY:79%}",,,3,Le Tre Marie,,moneta.png,M_banco ampliato.png,,r_branzino.png,,r_branzino.png,,F_pescherecci.png,6,,,{display:none},,,,,,{display:none},,
1,,6_pescheria.png,"{filter:contrast(1.1) saturate(1.2)}
{backgroundPositionX:39%}
{backgroundSize:177%}
{backgroundPositionY:100%}",,,2,Osteria Pescheria,,moneta.png,M_nuovi clienti.png,,r_sardina.png,,r_branzino.png,,F_aste.png,6,,,{display:none},,,,,,{display:none},,
1,,7_famiglia_badoer.png,"{backgroundPositionX:36%}
{backgroundSize:173%}
{backgroundPositionY:22%}",,,3,Famiglia Badoer,,moneta.png,M_ecocapitano.png,,r_polpo.png,,,{display:none},F_aste.png,5,,,{display:none},,,,{display:none},,{display:none},,
1,,8_ai_forni.png,"{backgroundPositionX:49%}
{backgroundSize:216%}
{backgroundPositionY:100%}",,,4,Osteria Ai Forni,,moneta.png,M_fiuto.png,,r_gambero.png,,r_gambero.png,,F_pescherecci.png,8,,,{display:none},,,,,,{display:none},,
1,,9_traghetto.png,"{backgroundPositionX:75%}
{backgroundSize:226%}
{backgroundPositionY:100%}",,,2,Al Traghetto,,moneta.png,M_nuovi clienti.png,,r_sardina.png,,r_sardina.png,,F_aste.png,6,,r_sardina.png,,,,,,,,,
1,,10_do_mori.png,"{backgroundPositionX:36%}
{backgroundSize:183%}
{backgroundRepeat:repeat}
{backgroundPositionY:100%}",,,2,Cantina do Mori,,moneta.png,M_nuovi clienti.png,,r_mollusco.png,,r_sardina.png,,F_aste.png,7,,,{display:none},,,,,,{display:none},,
1,,11_da_lele.png,"{backgroundPositionX:43%}
{backgroundSize:177%}
{backgroundPositionY:100%}",,,3,Bacaro da Lele,,moneta.png,M_banco ampliato.png,,r_gambero.png,,r_branzino.png,,F_pescherecci.png,8,,,{display:none},,,,,,{display:none},,
