Copies,Nickname,card_background,card_background style,immagine di fondo,immagine di fondo style,img_pergamena_titolo,img_scudo,valore asta,titolo,titolo style,img_moneta,miglioria,miglioria style,pesce1,pesce1 style,pesce2,pesce2 style,categoria miglioria,valore guadagno,valore guadagno style,pesce3,pesce3 style,img_pergamena_miglioria,img_pergamena_pesci,spiega miglioria,spiega miglioria style,spiega miglioria,spiega miglioria style,img_pergamena guadagno,img_pergamena miglioria
1,,,,1_bacaro_risorto.png,"{backgroundSize:168%}
{backgroundPositionY:100%}
{backgroundPositionX:29%}",,,3,Bacaro Risorto,,moneta.png,M_banco ampliato.png,,r_sardina.png,,r_sardina.png,,F_pescherecci.png,4,,,{display:none},,,"Banco più
/
grande:
/
+1 pesce",,"Banco più
/
grande:
/
+1 pesce",,,
1,,,,2_bacaro_laguna.JPG,,,,2,Bacaro della Laguna,,moneta.png,M_ecocapitano.png,,r_branzino.png,,,{display:none},F_aste.png,3,,,{display:none},,,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,,
1,,,,3_perla_nera.png,,,,3,La Perla Nera,,moneta.png,M_arte venditore.png,,r_mollusco.png,,,{display:none},F_bilancia.png,4,,,{display:none},,,"Mercante:
/
ogni carta mercato ti rende 2",,"Mercante:
/
ogni carta mercato ti rende 2",,,
1,,,,4_osteria_pugni.JPG,,,,4,Osteria ai Pugni,,moneta.png,M_contrattazione.png,,r_gambero.png,,,{display:none},F_mercato.png,4,,,{display:none},,,"Sottobanco:
/
scambi due pesci uguali per uno",,"Sottobanco:
/
scambi due pesci uguali per uno",,,
1,,,,5_tre_marie.png,"
{backgroundSize:184%}
{backgroundPositionX:71%}
{backgroundPositionY:79%}",,,3,Le Tre Marie,,moneta.png,M_banco ampliato.png,,r_branzino.png,,r_branzino.png,,F_pescherecci.png,6,,,{display:none},,,"Banco più
/
grande:
/
+1 pesce",,"Banco più
/
grande:
/
+1 pesce",,,
1,,,,6_pescheria.png,"{backgroundSize:164%}
{backgroundPositionY:100%}
{backgroundPositionX:43%}",,,2,Osteria Pescaria,,moneta.png,M_nuovi clienti.png,,r_sardina.png,,r_branzino.png,,F_aste.png,7,,,{display:none},,,"Fortuna:
/
Asta persa, cliente trovato",,"Fortuna:
/
Asta persa, cliente trovato",,,
1,,,,7_famiglia_badoer.png,"{backgroundSize:173%}
{backgroundPositionY:0%}
{backgroundPositionX:53%}",,,3,Famiglia Badoer,,moneta.png,M_ecocapitano.png,,r_polpo.png,,,{display:none},F_aste.png,5,,,{display:none},,,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,,
1,,,,8_ai_forni.png,"{backgroundSize:150%}
{backgroundPositionY:1%}
{backgroundPositionX:45%}",,,4,Osteria Ai Forni,,moneta.png,M_fiuto.png,,r_gambero.png,,r_gambero.png,,F_pescherecci.png,8,,,{display:none},,,"Amici:
/
un pescatore ti tiene un pesce da parte",,"Amici:
/
un pescatore ti tiene un pesce da parte",,,
1,,,{backgroundSize:135%},9_traghetto.png,"{backgroundSize:163%}
{backgroundPositionY:100%}
{backgroundPositionX:68%}",,,2,Al Traghetto,,moneta.png,M_nuovi clienti.png,,r_sardina.png,,r_sardina.png,,F_aste.png,6,,r_sardina.png,,,,"Fortuna:
/
Asta persa, cliente trovato",,"Fortuna:
/
Asta persa, cliente trovato",,,
1,,,,"10_do_mori.png,38,77,175","{backgroundPositionX:36%}
{backgroundSize:183%}
{backgroundRepeat:repeat}
{backgroundPositionY:100%}",,,2,Cantina do Mori,,moneta.png,M_nuovi clienti.png,,r_mollusco.png,,r_sardina.png,,F_aste.png,8,,,{display:none},,,"Fortuna:
/
Asta persa, cliente trovato",,"Fortuna:
/
Asta persa, cliente trovato",,,
